"Profile","Location","Depth","Fmax1","Fmax2","Fmax3","Fmax4"
3,"BATS",3200,0.459915289,0.5422706934,0.2394390585,0.1359930243
2,"BATS",3400,0.5388647011,0.6679318398,0.3109694701,0.1508296373
3,"BATS",3400,0.511615216,0.6316211208,0.2658806661,0.1487624028
1,"BATS",3600,0.484930411,0.5984607826,0.283823999,0.1369630654
2,"BATS",3600,0.5042932047,0.6234307781,0.2622819166,0.148921448
3,"BATS",3600,0.5079460678,0.6113926052,0.2542132953,0.1501487132
1,"BATS",3800,0.5016017963,0.6271945815,0.3032064676,0.1367705072
2,"BATS",3800,0.4844310861,0.5890950907,0.2674734051,0.1408010148
3,"BATS",3800,0.5045558829,0.6125541226,0.2570944851,0.1501553982
1,"BATS",4000,0.5451778801,0.7433708391,0.3295290554,0.1545284106
2,"BATS",4000,0.4763248334,0.5857202737,0.2512841324,0.1395554533
3,"BATS",4000,0.544660329,0.6590727156,0.2935750781,0.1580654313
1,"BATS",4200,0.4733717837,0.5877507143,0.3045150918,0.1364036629
2,"BATS",4200,0.511403378,0.6576592857,0.3024798042,0.1362518397
3,"BATS",4200,0.5157738371,0.6003732164,0.2558810881,0.1524318636
2,"BATS",4400,0.5608581991,0.6730490904,0.2785595908,0.1649028831
3,"BATS",4400,0.5103096643,0.6202159111,0.2757485309,0.1438018972
1,"BATS",4530,0.4531784087,0.5629258452,0.2553684374,0.1306533833
0,"BATS",4530,0.4139099095,0.5116757929,0.2234011041,0.1197747289
2,"BATS",4530,0.4491027254,0.5432633117,0.2526789968,0.1270348705
3,"BATS",4530,0.4779882947,0.5715371218,0.2307984027,0.1406521269
1,"ALOHA",10,0.1606442942,0.2877635094,0.8099851742,0.05011009376
2,"ALOHA",10,0.1613605746,0.3221061089,0.7883848425,0.05644603263
3,"ALOHA",10,0.1639209576,0.2819361025,0.764493989,0.05537873432
1,"ALOHA",100,0.3152486479,0.5872880312,0.7425934965,0.09695962239
2,"ALOHA",100,0.3363945224,0.643567385,0.7270688772,0.09566738215
3,"ALOHA",100,0.3566234551,0.6925982008,0.7167074685,0.1086268182
1,"ALOHA",200,0.4587004262,0.7167455262,0.4418327139,0.1108639296
2,"ALOHA",200,0.4891107506,0.780743196,0.4983518866,0.1204027381
3,"ALOHA",200,0.4669653866,0.7243972297,0.4747106141,0.1117997826
1,"ALOHA",400,0.7832695964,0.9707298581,0.3712710223,0.2168864377
2,"ALOHA",400,0.7807245374,1.03315703,0.4242690733,0.2193224079
3,"ALOHA",400,0.7989015225,1.013584042,0.4333928197,0.2215148856
1,"ALOHA",600,1.011087462,1.242329995,0.3689645691,0.3776543131
2,"ALOHA",600,0.9509056239,1.219818305,0.3801037737,0.361138943
3,"ALOHA",600,1.016927527,1.254635511,0.3913367731,0.3901999488
1,"ALOHA",800,0.9634094904,1.138006235,0.28935644,0.3603200115
2,"ALOHA",800,0.935383055,1.191351103,0.361326902,0.3614158508
3,"ALOHA",800,0.9827112678,1.221444086,0.3449771593,0.3880932107
1,"ALOHA",1000,0.9137165408,1.143177816,0.2028401736,0.3451123147
2,"ALOHA",1000,0.9325318804,1.115338217,0.3151017325,0.3791520219
3,"ALOHA",1000,0.9106753385,1.092164159,0.2888790341,0.3348998136
1,"ALOHA",1200,0.9431923905,1.146430916,0.2996443783,0.3497808169
2,"ALOHA",1200,0.9577935188,1.169223039,0.3595699964,0.3964285353
3,"ALOHA",1200,0.9846425076,1.210823451,0.3393954883,0.4008757645
1,"ALOHA",1400,0.9473590328,1.113433177,0.2818051481,0.3690297074
2,"ALOHA",1400,0.9232454768,1.118990416,0.3048801081,0.37431637
3,"ALOHA",1400,0.9785205572,1.21545119,0.3154921078,0.3926920554
1,"ALOHA",1600,0.9586500631,1.157128139,0.303310717,0.3804006429
2,"ALOHA",1600,0.9091719058,1.112178676,0.2786902728,0.3593656352
3,"ALOHA",1600,1.037832867,1.306857562,0.3780316531,0.4193575235
1,"ALOHA",1800,0.9248878906,1.106636771,0.3018888722,0.3483648408
2,"ALOHA",1800,0.9221750691,1.11896329,0.294758231,0.3667643311
3,"ALOHA",1800,0.9508913551,1.200419249,0.3102581671,0.3683677477
1,"ALOHA",2000,0.9386174366,1.147172577,0.2713465192,0.3502180754
2,"ALOHA",2000,0.995933038,1.184068932,0.330378591,0.3853539611
3,"ALOHA",2000,0.8976671609,1.152839996,0.2876163166,0.3474768433
1,"ALOHA",2200,0.9480132737,1.173824686,0.3119649212,0.3652244028
2,"ALOHA",2200,0.929782114,1.115834224,0.3031913054,0.3334270124
3,"ALOHA",2200,0.8733400375,1.061449566,0.279978918,0.3026363453
1,"ALOHA",2400,0.9016331314,1.101477759,0.2797722204,0.3260397528
3,"ALOHA",2400,0.9529244992,1.170758069,0.2602865882,0.353753784
1,"ALOHA",2600,0.8632581414,1.096781708,0.2996753073,0.2790048904
2,"ALOHA",2600,0.8846721681,1.065712174,0.281611123,0.2963045827
3,"ALOHA",2600,0.9068645044,1.128716357,0.3225900321,0.3166426892
1,"ALOHA",2800,0.8935267147,1.21105789,0.2657954512,0.3045190268
2,"ALOHA",2800,0.9299092909,1.130126294,0.3416980972,0.3312060197
3,"ALOHA",2800,0.875630621,1.099948999,0.2946563596,0.2995192764
1,"ALOHA",3000,0.8678346133,1.183285971,0.262609469,0.2882821864
2,"ALOHA",3000,0.9713899158,1.204269614,0.3501010054,0.3618001959
3,"ALOHA",3000,1.018902972,1.340789512,0.3524324308,0.4004665477
1,"ALOHA",3200,0.847956238,1.165828553,0.2586267881,0.2734403196
2,"ALOHA",3200,0.9068780131,1.107813177,0.3297160282,0.3119305813
3,"ALOHA",3200,0.8604821805,1.094903934,0.283942911,0.2751748215
1,"ALOHA",3400,0.920221408,1.104976281,0.3122248777,0.2968804456
2,"ALOHA",3400,0.8900892395,1.079843045,0.3183510926,0.3064774612
3,"ALOHA",3400,0.9621666957,1.24265986,0.358880943,0.3386511822
2,"ALOHA",3600,0.8642706102,1.047519187,0.3130965588,0.2912586847
3,"ALOHA",3600,0.9372228143,1.196926711,0.335158684,0.3164452383
1,"ALOHA",3800,0.9025545285,1.042569445,0.2559001056,0.2897089167
2,"ALOHA",3800,0.8844083035,1.109768869,0.3253024521,0.3030458313
3,"ALOHA",3800,0.9011166919,1.146591951,0.274013424,0.2967054997
1,"ALOHA",4000,0.9318403919,1.186330911,0.3287527948,0.3006382317
2,"ALOHA",4000,0.8475587912,1.053395479,0.2942530376,0.279205809
3,"ALOHA",4000,0.8768453284,1.128745227,0.2988125761,0.2862853364
