"ID","O_C_ratio","H_C_ratio","N_C_ratio","KMD","M_kmd_z","Neutral_Mass","DBE"
10204,0.416666667,0.833333333,0,0.272,0.019428571,266.024991,8
13402,0.777777778,1.555555556,0,0.251,0.017928571,266.0460513,3
15859,0.6,1.8,0,0.215,0.015357143,266.0823983,2
12323,0.454545455,2,0,0.178,0.012714286,266.118756,1
21361,0.333333333,2.166666667,0,0.142,0.010142857,266.1551971,0
12791,0.545454545,0.727272727,0,0.295,0.024583333,268.0041346,8
16918,0.416666667,1,0,0.259,0.021583333,268.0406031,7
12329,0.777777778,1.777777778,0,0.238,0.019833333,268.0616585,2
17071,0.545454545,0.909090909,0,0.282,0.0282,270.0198498,7
12793,0.416666667,1.166666667,0,0.245,0.0245,270.0563003,6
13320,0.7,0.8,0,0.305,0.038125,271.9990693,7
17540,0.545454545,1.090909091,0,0.268,0.0335,272.035484,6
12681,0.416666667,1.333333333,0,0.232,0.029,272.071916,5
12885,0.384615385,0.461538462,0,0.312,0.052,273.9935485,11
18461,0.545454545,1.272727273,0,0.255,0.0425,274.0511541,5
8327,0.307692308,1.692307692,0,0.182,0.030333333,274.123871,3
16500,0.7,1.2,0,0.278,0.0695,276.030357,5
18887,0.545454545,1.454545455,0,0.242,0.0605,276.0667489,4
16855,0.416666667,1.666666667,0,0.205,0.05125,276.1031628,3
17688,0.214285714,2,0,0.132,0.033,276.1759435,1
9187,0.384615385,0.769230769,0,0.286,0.143,278.02492,9
16944,0.7,1.4,0,0.264,0.132,278.046011,4
17542,0.545454545,1.636363636,0,0.228,0.114,278.0823812,3
3864,0.307692308,2,0,0.155,0.0775,278.1551735,1
13834,0.214285714,2.142857143,0,0.119,0.0595,278.1915797,0
9581,0.888888889,1.333333333,0,0.287,0.0205,280.025396,4
13366,0.384615385,0.923076923,0,0.272,0.019428571,280.0406741,8
16856,0.7,1.6,0,0.251,0.017928571,280.0616357,3
15752,0.545454545,1.818181818,0,0.215,0.015357143,280.0980287,2
20931,0.307692308,2.153846154,0,0.142,0.010142857,280.1708557,0
13651,0.5,0.833333333,0,0.295,0.024583333,282.0198299,8
12564,0.888888889,1.555555556,0,0.274,0.022833333,282.040938,3
12968,0.384615385,1.076923077,0,0.259,0.021583333,282.0563216,7
15608,0.7,1.8,0,0.238,0.019833333,282.0772748,2
3370,0.416666667,2.166666667,0,0.165,0.01375,282.1501193,0
9583,0.636363636,0.727272727,0,0.318,0.0318,283.9991427,8
12690,0.888888889,1.777777778,0,0.261,0.0261,284.0565277,2
6819,0.2,1.6,0,0.173,0.0173,284.1446385,4
17151,0.636363636,0.909090909,0,0.305,0.038125,286.0147118,7
17792,0.5,1.166666667,0,0.268,0.0335,286.0511417,6
4150,0.888888889,2,0,0.247,0.030875,286.072421,1
15917,0.384615385,1.384615385,0,0.232,0.029,286.0875774,5
9586,0.357142857,0.571428571,0,0.312,0.052,288.0092577,11
17090,0.636363636,1.090909091,0,0.291,0.0485,288.0303647,6
17836,0.5,1.333333333,0,0.255,0.0425,288.0667892,5
17617,0.384615385,1.538461538,0,0.218,0.036333333,288.1032196,4
12800,0.8,1,0,0.314,0.0785,290.0095817,6
17922,0.636363636,1.272727273,0,0.278,0.0695,290.0460206,5
19612,0.5,1.5,0,0.241,0.06025,290.0824667,4
17454,0.384615385,1.692307692,0,0.205,0.05125,290.1188454,3
11449,0.357142857,0.857142857,0,0.286,0.143,292.0405745,9
18208,0.636363636,1.454545455,0,0.264,0.132,292.0616996,4
17603,0.5,1.666666667,0,0.228,0.114,292.0981117,3
3673,0.461538462,0.769230769,0,0.308,0.022,294.0199189,9
16038,0.8,1.4,0,0.287,0.0205,294.040926,4
9590,0.357142857,1,0,0.272,0.019428571,294.056321,8
